userMediaCount,avg_mediaLikeNumbers,std_mediaLikeNumbers,avg_mediaCommentNumbers,std_mediaCommentNumbers,avg_mediaCommentsAreDisabled,std_mediaCommentsAreDisabled,avg_mediaHashtagNumbers,std_mediaHashtagNumbers,avg_mediaUploadTimes,std_mediaUploadTimes,avg_mediaHasLocationInfo,std_mediaHasLocationInfo,userFollowerCount,userFollowingCount,userHasHighlighReels,userHasExternalUrl,userTagsCount,userBiographyLength,usernameLength,usernameDigitCount,label
97,55.04123711340206,29.79549454828308,2.4536082474226806,3.4582058948938212,0.0,0.0,13.88659793814433,5.759575243251551,1509951977.1237113,21530584.339852817,0.979381443298969,0.14210359538237344,1612,7108,0,1,36,133,12,0,1
863,61.21205098493627,110.26110480892409,1.7010428736964078,2.774421543879816,0.0,0.0,4.115874855156431,3.2005960689205617,1467057097.871379,36375571.233714014,0.5052143684820394,0.4999728096220169,3028,912,1,0,77,99,11,0,1
149,70.93959731543625,49.06402175433979,2.0268456375838926,3.8038241244122784,0.0,0.0,10.302013422818792,5.124889519826145,1521110897.0805368,17577493.093396008,0.2483221476510067,0.43203964938070016,5213,1157,1,1,56,120,18,0,1
33,65.18181818181819,34.639664202878095,4.787878787878788,5.425850447277064,0.0,0.0,2.121212121212121,3.9677302553534326,1536460733.6363637,9241370.581654105,0.0,0.0,12423,1763,0,0,2,55,13,0,1
1000,160.267,152.97104206679117,3.585,4.013324681607507,0.0,0.0,4.008,5.482876617251204,1448681815.151,48767446.49446142,0.269,0.44343996211437686,9496,2412,1,0,91,33,8,0,1
74,230.05405405405406,129.05664918856704,10.905405405405405,10.845560704629737,0.0,0.0,14.864864864864865,7.10219669924112,1525920711.2567568,12885360.491531119,0.9864864864864865,0.11545951007185855,3093,1087,1,1,266,74,10,0,1
277,206.67870036101084,74.32280078145918,8.530685920577618,6.542554168899074,0.0036101083032490976,0.05997562355897527,0.3212996389891697,2.305545294537134,1532460865.1299639,6204284.7605996635,0.9963898916967509,0.05997562355897527,5896,1880,1,0,39,85,11,0,1
176,240.23295454545453,192.42045949477347,11.761363636363637,10.683987932438704,0.0,0.0,11.789772727272727,9.354514464013514,1500234761.1931818,30599225.746789686,0.6363636363636364,0.4810456929208347,7957,2801,1,1,57,138,10,0,1
477,97.58280922431865,126.37828790643893,6.329140461215933,8.669487318884789,0.0,0.0,1.6247379454926625,2.647663457970697,1445385890.3123689,60336242.58756578,0.3039832285115304,0.45997546162294034,4277,1734,1,1,314,150,7,0,1
230,375.82173913043476,344.9261149069486,7.165217391304348,11.19039217930516,0.0,0.0,0.24347826086956523,0.6605834620976939,1480215173.921739,32063152.234053023,0.5478260869565217,0.4977074094349282,9997,1219,1,0,196,85,11,0,1
150,134.23333333333332,131.85094699023676,10.526666666666667,11.902210812375246,0.0,0.0,13.1,5.465955238260433,1495255760.6533334,27041056.139296405,0.08666666666666667,0.28134597128012256,5795,301,1,1,35,89,10,0,1
