epoch,accuracy,loss,val_accuracy,val_loss
0,0.7571428418159485,0.4688764810562134,0.8857142925262451,0.24258124828338623
1,0.9023809432983398,0.2290605753660202,0.938095211982727,0.20237001776695251
2,0.9273809790611267,0.18854106962680817,0.9428571462631226,0.18249119818210602
3,0.9297618865966797,0.18540774285793304,0.9428571462631226,0.18779389560222626
4,0.9261904954910278,0.18007242679595947,0.9428571462631226,0.17832408845424652
5,0.9321428537368774,0.1752232015132904,0.9333333373069763,0.17160247266292572
6,0.9297618865966797,0.17595770955085754,0.9428571462631226,0.1831684708595276
7,0.9273809790611267,0.1734977662563324,0.938095211982727,0.17582792043685913
8,0.936904788017273,0.1767009198665619,0.9333333373069763,0.17215314507484436
9,0.9285714030265808,0.18438051640987396,0.938095211982727,0.1977142095565796
10,0.9273809790611267,0.18607006967067719,0.9428571462631226,0.1738824099302292
11,0.9297618865966797,0.16514933109283447,0.938095211982727,0.18518586456775665
12,0.925000011920929,0.18034270405769348,0.9428571462631226,0.17777708172798157
13,0.9321428537368774,0.16214123368263245,0.9285714030265808,0.17058107256889343
14,0.925000011920929,0.17119508981704712,0.9285714030265808,0.1815270334482193
15,0.9297618865966797,0.16786371171474457,0.9428571462631226,0.1828812062740326
16,0.9345238208770752,0.17816001176834106,0.9333333373069763,0.18609338998794556
17,0.9321428537368774,0.1645091325044632,0.9285714030265808,0.1747380644083023
18,0.9333333373069763,0.16208228468894958,0.938095211982727,0.21269746124744415
19,0.9333333373069763,0.1656823605298996,0.9476190209388733,0.19334372878074646
20,0.9285714030265808,0.15840540826320648,0.9285714030265808,0.17329390347003937
21,0.9297618865966797,0.1612471044063568,0.938095211982727,0.18322183191776276
22,0.9297618865966797,0.15466156601905823,0.9333333373069763,0.22082436084747314
23,0.9285714030265808,0.15675687789916992,0.9333333373069763,0.19405680894851685
24,0.9321428537368774,0.1693473607301712,0.9285714030265808,0.18330995738506317
25,0.9297618865966797,0.1608269214630127,0.9285714030265808,0.18599769473075867
26,0.9321428537368774,0.1519525647163391,0.9333333373069763,0.23532634973526
27,0.9273809790611267,0.17186178267002106,0.9285714030265808,0.21290765702724457
28,0.938095211982727,0.15731209516525269,0.9333333373069763,0.19135698676109314
29,0.9357143044471741,0.15308530628681183,0.9333333373069763,0.18322566151618958
30,0.9321428537368774,0.16173766553401947,0.9333333373069763,0.1936890333890915
31,0.925000011920929,0.16079843044281006,0.9238095283508301,0.18956062197685242
32,0.936904788017273,0.1444147378206253,0.9285714030265808,0.21911978721618652
33,0.9357143044471741,0.1543896198272705,0.9238095283508301,0.21478837728500366
34,0.9333333373069763,0.1440066248178482,0.938095211982727,0.2602880895137787
